"row","col","label"
"44","33","ROI1"
"45","33","ROI1"
"46","33","ROI1"
"47","33","ROI1"
"48","33","ROI1"
"49","33","ROI1"
"50","33","ROI1"
"51","33","ROI1"
"52","33","ROI1"
"14","34","ROI1"
"15","34","ROI1"
"16","34","ROI1"
"17","34","ROI1"
"18","34","ROI1"
"19","34","ROI1"
"20","34","ROI1"
"21","34","ROI1"
"22","34","ROI1"
"23","34","ROI1"
"24","34","ROI1"
"25","34","ROI1"
"26","34","ROI1"
"27","34","ROI1"
"28","34","ROI1"
"29","34","ROI1"
"30","34","ROI1"
"31","34","ROI1"
"32","34","ROI1"
"33","34","ROI1"
"34","34","ROI1"
"35","34","ROI1"
"36","34","ROI1"
"37","34","ROI1"
"38","34","ROI1"
"39","34","ROI1"
"40","34","ROI1"
"41","34","ROI1"
"42","34","ROI1"
"43","34","ROI1"
"44","34","ROI1"
"45","34","ROI1"
"46","34","ROI1"
"14","35","ROI1"
"15","35","ROI1"
"16","35","ROI1"
"17","35","ROI1"
"18","35","ROI1"
"19","35","ROI1"
"20","35","ROI1"
"21","35","ROI1"
"22","35","ROI1"
"23","35","ROI1"
"24","35","ROI1"
"25","35","ROI1"
"26","35","ROI1"
"27","35","ROI1"
"28","35","ROI1"
"29","35","ROI1"
"30","35","ROI1"
"31","35","ROI1"
"32","35","ROI1"
"33","35","ROI1"
"34","35","ROI1"
"35","35","ROI1"
"36","35","ROI1"
"37","35","ROI1"
"38","35","ROI1"
"39","35","ROI1"
"40","35","ROI1"
"41","35","ROI1"
"42","35","ROI1"
"43","35","ROI1"
"44","35","ROI1"
"45","35","ROI1"
"46","35","ROI1"
"14","36","ROI1"
"15","36","ROI1"
"16","36","ROI1"
"17","36","ROI1"
"18","36","ROI1"
"19","36","ROI1"
"20","36","ROI1"
"21","36","ROI1"
"22","36","ROI1"
"23","36","ROI1"
"24","36","ROI1"
"25","36","ROI1"
"26","36","ROI1"
"27","36","ROI1"
"28","36","ROI1"
"29","36","ROI1"
"30","36","ROI1"
"31","36","ROI1"
"32","36","ROI1"
"33","36","ROI1"
"34","36","ROI1"
"35","36","ROI1"
"36","36","ROI1"
"37","36","ROI1"
"38","36","ROI1"
"39","36","ROI1"
"40","36","ROI1"
"41","36","ROI1"
"42","36","ROI1"
"43","36","ROI1"
"44","36","ROI1"
"45","36","ROI1"
"46","36","ROI1"
"47","36","ROI1"
"14","37","ROI1"
"15","37","ROI1"
"16","37","ROI1"
"17","37","ROI1"
"18","37","ROI1"
"19","37","ROI1"
"20","37","ROI1"
"21","37","ROI1"
"22","37","ROI1"
"23","37","ROI1"
"24","37","ROI1"
"25","37","ROI1"
"26","37","ROI1"
"27","37","ROI1"
"28","37","ROI1"
"29","37","ROI1"
"30","37","ROI1"
"31","37","ROI1"
"32","37","ROI1"
"33","37","ROI1"
"34","37","ROI1"
"35","37","ROI1"
"36","37","ROI1"
"37","37","ROI1"
"38","37","ROI1"
"39","37","ROI1"
"40","37","ROI1"
"41","37","ROI1"
"42","37","ROI1"
"43","37","ROI1"
"44","37","ROI1"
"45","37","ROI1"
"46","37","ROI1"
"47","37","ROI1"
"14","38","ROI1"
"15","38","ROI1"
"16","38","ROI1"
"17","38","ROI1"
"18","38","ROI1"
"19","38","ROI1"
"20","38","ROI1"
"21","38","ROI1"
"22","38","ROI1"
"23","38","ROI1"
"24","38","ROI1"
"25","38","ROI1"
"26","38","ROI1"
"27","38","ROI1"
"28","38","ROI1"
"29","38","ROI1"
"30","38","ROI1"
"31","38","ROI1"
"32","38","ROI1"
"33","38","ROI1"
"34","38","ROI1"
"35","38","ROI1"
"36","38","ROI1"
"37","38","ROI1"
"38","38","ROI1"
"39","38","ROI1"
"40","38","ROI1"
"41","38","ROI1"
"42","38","ROI1"
"43","38","ROI1"
"44","38","ROI1"
"45","38","ROI1"
"46","38","ROI1"
"47","38","ROI1"
"48","38","ROI1"
"14","39","ROI1"
"15","39","ROI1"
"16","39","ROI1"
"17","39","ROI1"
"18","39","ROI1"
"19","39","ROI1"
"20","39","ROI1"
"21","39","ROI1"
"22","39","ROI1"
"23","39","ROI1"
"24","39","ROI1"
"25","39","ROI1"
"26","39","ROI1"
"27","39","ROI1"
"28","39","ROI1"
"29","39","ROI1"
"30","39","ROI1"
"31","39","ROI1"
"32","39","ROI1"
"33","39","ROI1"
"34","39","ROI1"
"35","39","ROI1"
"36","39","ROI1"
"37","39","ROI1"
"38","39","ROI1"
"39","39","ROI1"
"40","39","ROI1"
"41","39","ROI1"
"42","39","ROI1"
"43","39","ROI1"
"44","39","ROI1"
"45","39","ROI1"
"46","39","ROI1"
"47","39","ROI1"
"48","39","ROI1"
"14","40","ROI1"
"15","40","ROI1"
"16","40","ROI1"
"17","40","ROI1"
"18","40","ROI1"
"19","40","ROI1"
"20","40","ROI1"
"21","40","ROI1"
"22","40","ROI1"
"23","40","ROI1"
"24","40","ROI1"
"25","40","ROI1"
"26","40","ROI1"
"27","40","ROI1"
"28","40","ROI1"
"29","40","ROI1"
"30","40","ROI1"
"31","40","ROI1"
"32","40","ROI1"
"33","40","ROI1"
"34","40","ROI1"
"35","40","ROI1"
"36","40","ROI1"
"37","40","ROI1"
"38","40","ROI1"
"39","40","ROI1"
"40","40","ROI1"
"41","40","ROI1"
"42","40","ROI1"
"43","40","ROI1"
"44","40","ROI1"
"45","40","ROI1"
"46","40","ROI1"
"47","40","ROI1"
"48","40","ROI1"
"14","41","ROI1"
"15","41","ROI1"
"16","41","ROI1"
"17","41","ROI1"
"18","41","ROI1"
"19","41","ROI1"
"20","41","ROI1"
"21","41","ROI1"
"22","41","ROI1"
"23","41","ROI1"
"24","41","ROI1"
"25","41","ROI1"
"26","41","ROI1"
"27","41","ROI1"
"28","41","ROI1"
"29","41","ROI1"
"30","41","ROI1"
"31","41","ROI1"
"32","41","ROI1"
"33","41","ROI1"
"34","41","ROI1"
"35","41","ROI1"
"36","41","ROI1"
"37","41","ROI1"
"38","41","ROI1"
"39","41","ROI1"
"40","41","ROI1"
"41","41","ROI1"
"42","41","ROI1"
"43","41","ROI1"
"44","41","ROI1"
"45","41","ROI1"
"46","41","ROI1"
"47","41","ROI1"
"48","41","ROI1"
"14","42","ROI1"
"15","42","ROI1"
"16","42","ROI1"
"17","42","ROI1"
"18","42","ROI1"
"19","42","ROI1"
"20","42","ROI1"
"21","42","ROI1"
"22","42","ROI1"
"23","42","ROI1"
"24","42","ROI1"
"25","42","ROI1"
"26","42","ROI1"
"27","42","ROI1"
"28","42","ROI1"
"29","42","ROI1"
"30","42","ROI1"
"31","42","ROI1"
"32","42","ROI1"
"33","42","ROI1"
"34","42","ROI1"
"35","42","ROI1"
"36","42","ROI1"
"37","42","ROI1"
"38","42","ROI1"
"39","42","ROI1"
"40","42","ROI1"
"41","42","ROI1"
"42","42","ROI1"
"43","42","ROI1"
"44","42","ROI1"
"45","42","ROI1"
"46","42","ROI1"
"47","42","ROI1"
